scn_mbs_osi_runID_004_00157_Int-400_Exp-10800_08Oct16_21:15_to_09Oct16_00:19.fits
Ext BITPIX Dimens.   Nulls    Min    Max     Mean    Sigma  Noise2  Noise3  Noise5  Nbits   MaxR
12  -32 (4112,4220)     0 -15381 10000000000 734303.8  8.6e+07    57.5    58.8    60.3   7.6   4.19
13  -32 (4112,4220)     0  -7879 10000000000 668310.0  8.2e+07    73.3    75.5    77.3   8.0   4.01


scn_mbs_osi_runID_004_00165_Int-400_Exp-10800_09Oct16_23:49_to_10Oct16_02:53.fits
Ext BITPIX Dimens.   Nulls    Min    Max     Mean    Sigma  Noise2  Noise3  Noise5  Nbits   MaxR
0  -32 (4112,4220)     0  -4273 10000000000 369040.5  6.1e+07    68.5    70.4    71.8   7.9   4.06
1  -32 (4112,4220)     0 -18446 10000000000 799792.6  8.9e+07    79.8    82.5    84.1   8.1   3.95
2  -32 (4112,4220)     0 -19004 10000000000 446364.4  6.7e+07    53.5    54.7    55.8   7.5   4.25
3  -32 (4112,4220)     0 -10059 10000000000 470166.2  6.9e+07    56.3    57.7    59.0   7.6   4.21
4  -32 (4112,4220)     0 -10980 10000000000 573638.8  7.6e+07    43.8    44.7    45.6   7.2   4.42
5  -32 (4112,4220)     0 -16285 10000000000 239314.5  4.9e+07    41.5    42.1    42.6   7.2   4.47
6  -32 (4112,4220)     0 -24647 10000000000 706363.5  8.4e+07    67.0    68.9    70.4   7.9   4.07
7  -32 (4112,4220)     0 -23839 10000000000 737311.6  8.6e+07    72.0    74.0    75.7   8.0   4.02
8  -32 (4112,4220)     0 -21862 10000000000 1135244.3  1.1e+08    50.4    51.4    52.4   7.4   4.30
9  -32 (4112,4220)     0 -16566 10000000000 452921.3  6.7e+07    57.3    58.5    59.7   7.6   4.19
10  -32 (4112,4220)     0 -25855 10000000000 984808.1  9.9e+07    75.3    77.4    79.2   8.0   3.99
11  -32 (4112,4220)     0 -19470 10000000000 733168.6  8.6e+07    75.6    77.7    79.3   8.0   3.98
12  -32 (4112,4220)     0 -15535 10000000000 858653.5  9.3e+07    61.5    62.9    64.3   7.7   4.14
13  -32 (4112,4220)     0 -11004 10000000000 869998.6  9.3e+07    79.9    82.0    83.4   8.1   3.94

scn_mbs_osi_runID_004_00166_Int-400_Exp-10800_10Oct16_03:09_to_10Oct16_06:13.fits
Ext BITPIX Dimens.   Nulls    Min    Max     Mean    Sigma  Noise2  Noise3  Noise5  Nbits   MaxR
0  -32 (4112,4220)     0  -4269 10000000000 235794.7  4.9e+07    71.4    73.2    74.3   8.0   4.02
1  -32 (4112,4220)     0 -18425 10000000000 620142.2  7.9e+07    82.1    84.4    85.7   8.2   3.93
2  -32 (4112,4220)     0 -18910 10000000000 411873.1  6.4e+07    56.0    57.2    58.2   7.6   4.21
3  -32 (4112,4220)     0  -9920 10000000000 325628.1  5.7e+07    59.1    60.4    61.7   7.7   4.17
4  -32 (4112,4220)     0 -10962 10000000000 477276.6  6.9e+07    45.5    46.4    47.2   7.3   4.38
5  -32 (4112,4220)     0 -15678 10000000000 236946.1  4.9e+07    43.2    43.8    44.2   7.2   4.43
6  -32 (4112,4220)     0 -24787 10000000000 712916.5  8.4e+07    69.9    71.6    73.0   7.9   4.04
7  -32 (4112,4220)     0 -23950 10000000000 709950.5  8.4e+07    75.5    77.3    78.6   8.0   3.98
8  -32 (4112,4220)     0 -21980 10000000000 1044836.7  1.0e+08    52.7    53.8    54.6   7.5   4.26
9  -32 (4112,4220)     0 -16798 10000000000 395829.6  6.3e+07    60.1    61.4    62.5   7.7   4.15
10  -32 (4112,4220)     0 -25780 10000000000 949121.0  9.7e+07    78.3    80.3    81.7   8.1   3.96
11  -32 (4112,4220)     0 -19431 10000000000 626106.1  7.9e+07    78.8    80.8    82.1   8.1   3.95
12  -32 (4112,4220)     0 -15541 10000000000 675437.9  8.2e+07    64.0    65.5    66.8   7.8   4.11
13  -32 (4112,4220)     0 -11039 10000000000 676687.3  8.2e+07    84.7    86.7    87.8   8.2   3.90


scn_mbs_osi_runID_004_00167_Int-400_Exp-10800_10Oct16_06:28_to_10Oct16_09:32.fits
Ext BITPIX Dimens.   Nulls    Min    Max     Mean    Sigma  Noise2  Noise3  Noise5  Nbits   MaxR
0  -32 (4112,4220)     0  -4282 10000000000 665916.9  8.2e+07    74.3    76.1    77.1   8.0   4.00
1  -32 (4112,4220)     0 -18607 10000000000 712960.0  8.4e+07    84.8    87.0    88.3   8.2   3.90
